fact_table_natural_key,accm_txn_complete_time
DR100,5/9/2022 5:31
DR101,5/9/2022 2:13
DR103,5/9/2022 22:59
DR104,5/9/2022 20:24
DR105,5/9/2022 5:24
DR106,5/9/2022 0:14
DR107,5/9/2022 3:48
DR110,5/9/2022 4:27
DR111,5/9/2022 0:08
DR112,5/9/2022 23:57
DR113,5/9/2022 23:59
DR114,5/9/2022 10:44
DR115,5/9/2022 2:00
DR116,5/9/2022 0:36
DR117,5/9/2022 19:12
DR118,5/9/2022 23:45
DR119,5/9/2022 21:56
DR120,5/9/2022 17:33
DR121,5/9/2022 6:58
DR122,5/9/2022 16:18
DR123,5/9/2022 8:17
DR124,5/9/2022 17:12
DR125,5/9/2022 9:05
DR126,5/9/2022 0:19
DR127,5/9/2022 14:41
DR128,5/9/2022 1:06
DR130,5/9/2022 14:03
DR132,5/9/2022 10:48
DR133,5/9/2022 6:36
DR134,5/9/2022 0:01
DR135,5/9/2022 9:00
DR136,5/9/2022 0:57
DR137,5/9/2022 16:50
DR139,5/9/2022 2:34
DR140,5/9/2022 12:09
DR141,5/9/2022 2:18
DR142,5/9/2022 1:14
DR143,5/9/2022 16:00
DR145,5/9/2022 2:17
DR146,5/9/2022 20:06
DR147,5/9/2022 14:48
DR148,5/9/2022 20:41
DR149,5/9/2022 0:55
DR150,5/9/2022 17:01
DR151,5/9/2022 22:19
DR152,5/9/2022 12:34
DR153,5/9/2022 20:41
DR154,5/9/2022 15:29
DR155,5/9/2022 12:13
DR156,5/9/2022 18:08
DR157,5/9/2022 14:23
DR158,5/9/2022 9:45
DR159,5/9/2022 20:44
DR160,5/9/2022 2:58
DR161,5/9/2022 14:41
DR162,5/9/2022 15:04
DR163,5/9/2022 14:04
DR164,5/9/2022 17:33
DR165,5/9/2022 13:32
DR167,5/9/2022 3:40
DR168,5/9/2022 0:55
DR169,5/9/2022 23:25
DR170,5/9/2022 22:39
DR172,5/9/2022 13:56
DR173,5/9/2022 12:14
DR174,5/9/2022 8:11
DR175,5/9/2022 14:56
DR177,5/9/2022 17:58
DR178,5/9/2022 0:46
DR179,5/9/2022 18:05
DR180,5/9/2022 20:28
DR183,5/9/2022 6:57
DR184,5/9/2022 6:23
DR186,5/9/2022 14:14
DR187,5/9/2022 18:34
DR188,5/9/2022 14:59
DR189,5/9/2022 0:41
DR190,5/9/2022 17:25
DR191,5/9/2022 18:01
DR193,5/9/2022 8:42
DR194,5/9/2022 18:43
DR195,5/9/2022 20:13
DR196,5/9/2022 7:31
DR197,5/9/2022 21:37
DR198,5/9/2022 8:58
DR199,5/9/2022 22:08
DR200,5/9/2022 21:23
DR201,5/9/2022 10:00
DR202,5/9/2022 11:34
DR203,5/9/2022 1:13
DR204,5/9/2022 6:06
DR205,5/9/2022 10:31
DR206,5/9/2022 6:09
DR207,5/9/2022 15:24
DR208,5/9/2022 12:08
DR209,5/9/2022 4:59
DR210,5/9/2022 2:05
DR211,5/9/2022 22:34
DR212,5/9/2022 19:39
DR213,5/9/2022 8:01
DR214,5/9/2022 15:49
DR215,5/9/2022 16:40
DR216,5/9/2022 12:41
DR217,5/9/2022 5:02
DR219,5/9/2022 1:54
DR220,5/9/2022 0:12
DR221,5/9/2022 13:26
DR222,5/9/2022 7:19
DR224,5/9/2022 21:49
DR225,5/9/2022 18:24
DR226,5/9/2022 10:30
DR227,5/9/2022 8:23
DR228,5/9/2022 15:15
DR229,5/9/2022 14:18
DR230,5/9/2022 21:47
DR231,5/9/2022 17:52
DR232,5/9/2022 8:56
DR233,5/9/2022 22:25
DR234,5/9/2022 11:19
DR236,5/9/2022 6:07
DR237,5/9/2022 13:41
DR238,5/9/2022 19:23
DR239,5/9/2022 20:13
DR240,5/9/2022 0:27
DR241,5/9/2022 9:16
DR242,5/9/2022 14:30
DR244,5/9/2022 11:07
DR246,5/9/2022 7:09
DR247,5/9/2022 21:53
DR248,5/9/2022 6:28
DR249,5/9/2022 1:20
DR250,5/9/2022 20:15
DR251,5/9/2022 13:11
DR252,5/9/2022 20:03
DR253,5/9/2022 0:12
DR254,5/9/2022 15:17
DR255,5/9/2022 6:23
DR256,5/9/2022 21:04
DR257,5/9/2022 23:10
DR258,5/9/2022 2:46
DR259,5/9/2022 4:21
DR260,5/9/2022 5:49
DR261,5/9/2022 12:47
DR263,5/9/2022 11:24
DR264,5/9/2022 23:18
DR265,5/9/2022 0:49
DR266,5/9/2022 7:53
DR267,5/9/2022 23:32
DR269,5/9/2022 23:57
DR270,5/9/2022 5:08
DR271,5/9/2022 3:22
DR272,5/9/2022 11:13
DR273,5/9/2022 2:47
DR274,5/9/2022 3:11
DR275,5/9/2022 17:44
DR276,5/9/2022 5:13
DR278,5/9/2022 16:09
DR279,5/9/2022 14:05
