DraftID	CollegeID	PlayerID	Draft_Date	Draft_Price	Goals_Scored	Average_Score
DR100	COLL10	PL1000	2/20/2017	30000	66	5.50
DR101	COLL11	PL1001	11/5/2019	100000	34	2.83
DR103	COLL12	PL1002	3/2/2020	40000	78	6.50
DR104	COLL13	PL1003	6/11/2019	50000	45	3.75
DR105	COLL14	PL1004	2/4/2021	40000	75	6.25
DR106	COLL15	PL1005	3/19/2018	100000	67	5.58
DR107	COLL16	PL1006	1/1/2018	70000	26	2.17
DR110	COLL18	PL1007	1/14/2020	45000	21	1.75
DR111	COLL19	PL1008	10/5/2019	50000	46	3.83
DR112	COLL20	PL1009	1/10/2021	35000	79	6.58
DR113	COLL21	PL1010	4/29/2019	40000	49	4.08
DR114	COLL22	PL1011	10/8/2018	25000	88	7.33
DR115	COLL23	PL1012	3/21/2017	35000	43	3.58
DR116	COLL24	PL1013	1/15/2020	80000	46	3.83
DR117	COLL26	PL1014	11/2/2018	10500	80	6.67
DR118	COLL27	PL1015	1/15/2021	30000	74	6.17
DR119	COLL28	PL1016	1/28/2018	40000	36	3.00
DR120	COLL29	PL1017	6/18/2018	20000	36	3.00
DR121	COLL30	PL1018	8/7/2017	50000	73	6.08
DR122	COLL31	PL1019	7/31/2017	45000	37	3.08
DR123	COLL32	PL1020	5/14/2019	20000	89	7.42
DR124	COLL33	PL1021	9/23/2019	25000	27	2.25
DR125	COLL34	PL1022	5/15/2020	10500	59	4.92
DR126	COLL35	PL1023	8/15/2020	50000	32	2.67
DR127	COLL36	PL1024	5/13/2020	10000	30	2.50
DR128	COLL37	PL1025	10/25/2020	30000	87	7.25
DR130	COLL38	PL1026	9/13/2019	10000	77	6.42
DR132	COLL39	PL1027	10/25/2019	50000	35	2.92
DR133	COLL40	PL1028	6/23/2019	45000	71	5.92
DR134	COLL41	PL1029	4/21/2020	80000	78	6.50
DR135	COLL42	PL1030	5/2/2019	35000	20	1.67
DR136	COLL43	PL1031	9/19/2020	60000	47	3.92
DR137	COLL44	PL1032	5/5/2020	90000	86	7.17
DR139	COLL45	PL1034	5/17/2018	100000	39	3.25
DR140	COLL46	PL1035	2/4/2017	25000	78	6.50
DR141	COLL47	PL1036	5/9/2020	30000	37	3.08
DR142	COLL48	PL1037	1/11/2019	10000	81	6.75
DR143	COLL49	PL1039	9/17/2019	25000	71	5.92
DR145	COLL50	PL1040	7/13/2018	10000	25	2.08
DR146	COLL51	PL1041	11/25/2017	10500	68	5.67
DR147	COLL53	PL1043	4/19/2018	70000	44	3.67
DR148	COLL54	PL1044	2/17/2020	90000	74	6.17
DR149	COLL55	PL1045	1/28/2017	70000	62	5.17
DR150	COLL56	PL1046	11/2/2019	70000	34	2.83
DR151	COLL58	PL1047	8/27/2018	30000	64	5.33
DR152	COLL60	PL1048	7/28/2019	10000	72	6.00
DR153	COLL61	PL1049	2/26/2021	70000	25	2.08
DR154	COLL62	PL1051	11/23/2018	30000	53	4.42
DR155	COLL63	PL1052	4/14/2018	30000	45	3.75
DR156	COLL64	PL1053	7/2/2017	10000	43	3.58
DR157	COLL65	PL1055	9/29/2019	50000	22	1.83
DR158	COLL66	PL1057	6/12/2018	10000	48	4.00
DR159	COLL67	PL1058	7/29/2020	80000	40	3.33
